frame_id,steering_angle
1477439567119430480,-0.0151383
1477439638979616151,0.0230926
1477439587522492314,0.00864894
1477439654482056652,-0.0330049
1477439485658031609,0.0182677
1477439641779999126,0.0242468
1477439612576029967,1.6581
1477439639229653004,0.0219794
1477439685636163803,0.00386724
1477439672384503829,-0.000792451
1477439616726664535,0.0240101
1477439671034222832,0.00267589
1477439418298647084,0.149968
1477439573220495039,0.14682
1477439654181824043,-0.194651
1477439517262514729,0.0210172
1477439593923267526,0.0216489
1477439681135578218,0.00386724
1477439543766205383,-0.00904544
1477439514012080603,0.0534317
1477439519062803690,0.0204251
1477439590272897438,-0.00724441
1477439446902549785,0.0102876
1477439565121146630,0.0845162
1477439493809267711,-0.0795363
1477439461504631012,0.00544186
1477439517362511359,0.0279719
1477439701838681883,0.00171517
1477439420698942116,0.0363427
1477439544266400991,0.00386724
1477439715790360066,0.0338241
1477439665883509579,0.00722032
1477439627127944080,0.00705038
1477439530414348738,0.11744
1477439603824800425,0.016596
1477439498559995573,0.024426
1477439413097808391,0.0057948
1477439539865723872,0.0524993
1477439698988042999,-0.0287533
1477439464605261578,0.00295328
1477439698038082993,-0.0664397
1477439405096746491,0.00843612
1477439416398487922,0.177878
1477439717990903034,0.0109065
1477439666233450075,0.0681997
1477439554867917603,0.0156954
1477439730942596531,0.012287
1477439678036004693,0.00386724
1477439467455500373,-0.0420118
1477439622877431838,0.00386724
1477439615126375656,0.0895331
1477439520012950343,0.00759378
1477439473056266102,0.0053738
1477439457404296691,0.0246321
1477439611375734616,0.544513
1477439601524477335,-0.105401
1477439525813697330,0.0238327
1477439493659220760,-0.0784507
1477439661632903107,-0.598514
1477439426349782682,0.0246257
1477439598824019221,-0.0192538
1477439634078996677,0.00386724
1477439658732494467,-0.0299269
1477439475556694005,-0.0194662
1477439403546737008,0.0155359
1477439452703374779,-0.031937
1477439626778009243,0.00386724
1477439407497168699,0.00386724
1477439729392741023,0.0124403
1477439512862655596,-0.0048634
1477439433050731240,0.0224344
1477439427799984823,0.0209171
1477439573270475045,0.344184
1477439452553404389,-0.0417209
1477439467905546771,0.0116904
1477439695137505400,0.00386724
1477439617726635582,0.0315236
1477439590572765874,-0.00715638
1477439607525329872,0.0350725
1477439599174014831,-0.0679757
1477439676384857193,0.210109
1477439534264938205,0.00621966
1477439685687657219,0.00386724
1477439683835989234,0.00974213
1477439724791904113,0.00386724
1477439451553275015,-0.00829234
1477439614276214548,0.0771036
1477439528114013451,-0.0293261
1477439431150446590,0.0254363
1477439692337176588,0.00510261
1477439475856866066,0.0113351
1477439633978977633,0.00386724
1477439618276702614,0.029274
1477439507761149912,0.0156177
1477439470255876047,0.00229802
1477439498809820010,0.0258119
1477439416698430641,0.129341
1477439704688924345,-0.00835326
1477439425699662979,0.0108415
1477439421849115062,0.0386087
1477439546316575887,0.00911949
1477439444052258916,0.0177641
1477439500010077510,0.0299214
1477439625277790803,0.00386724
1477439581371523560,0.00302976
1477439478607371165,0.021743
1477439656332026266,0.145871
1477439655131988701,0.270107
1477439460504512929,0.0730268
1477439575170741749,0.0149843
1477439494559341034,-0.0673349
1477439598274016010,-0.0550928
1477439423449314356,0.00678976
1477439441351870124,0.0716368
1477439694537490851,0.0399347
1477439593023259493,0.0277989
1477439720791166420,0.00386724
1477439521413135190,0.0371829
1477439486108130922,0.0119768
1477439554117782540,0.079639
1477439476206717114,0.00654192
1477439403996585075,0.0109378
1477439583921922573,0.0425338
1477439701788425843,0.0310313
1477439674334706189,0.300876
1477439416498397295,0.13721
1477439614176181128,0.121555
1477439506310947840,0.0117999
1477439664383310688,0.0287261
1477439547716803851,0.00426286
1477439581971583748,0.0114236
1477439441551824105,0.035992
1477439484507946519,0.00999977
1477439630328433787,0.00386724
1477439648681075542,0.0104047
1477439609525657960,0.0388951
1477439506360935660,0.0113615
1477439428050138520,0.0325621
1477439504760783825,0.0171628
1477439721441496760,0.00386724
1477439485057985360,0.0129191
1477439719490875499,0.00513042
1477439430600349220,0.0160019
1477439451503233701,-0.00614132
1477439702938558319,0.0444459
1477439575870741839,0.00435373
1477439468555689529,0.0131314
1477439669884001152,-0.0573392
1477439537065274854,-0.0292487
1477439575320651642,-0.00750284
1477439668233726604,-0.00102849
1477439650581424403,-0.0247102
1477439652031428113,0.00386724
1477439616276469170,0.0632483
1477439624027623282,0.00386724
1477439516362408812,0.0729947
1477439650031268444,0.00386724
1477439504310651895,0.113724
1477439730542428229,0.0282891
1477439429900248557,0.01872
1477439440651717960,0.117767
1477439624677646489,-0.00341515
1477439653631664694,-0.0952347
1477439533814826642,-0.0858665
1477439708139331482,1.00219
1477439458654371099,0.0146898
1477439507261129189,-0.218121
1477439550067175460,-0.00795334
1477439484358970115,0.00826582
1477439448152792916,0.00386724
1477439652531644468,-0.043675
1477439578171047205,0.00380035
1477439633229030190,-0.0666759
1477439731342601101,0.0278241
1477439430400419476,0.0189875
1477439436901172600,0.0224906
1477439615576513255,0.0686467
1477439616677726047,0.19605
1477439616326612952,0.0491661
1477439475706696378,-0.151539
1477439722441291201,0.0392847
1477439425049594065,0.00998599
1477439675034721410,0.0540416
1477439675584764344,0.471238
1477439727842164457,0.0092908
1477439406646994568,0.0112651
1477439660082682772,-0.0614317
1477439534665002848,0.0143284
1477439516912492432,0.0412318
1477439456053824925,0.0153259
1477439550667217586,0.0172182
1477439472306280744,0.00386724
1477439484307916362,0.0112384
1477439635929179727,0.015802
1477439572720369298,-0.00817056
1477439564819171668,0.444579
1477439473856396574,0.00681568
1477439720291036199,0.00386724
1477439656382181748,0.249239
1477439432600637402,0.0497021
1477439587722426892,0.00386724
1477439409747449122,0.00386724
1477439603074564924,-0.0230176
1477439509011381249,-0.0259727
1477439724093438040,0.00386724
1477439568569762093,0.0177314
1477439658132292334,0.4012
1477439622927321705,0.004294
1477439531614567004,-0.0143303
1477439501610415100,0.0213451
1477439567819747445,-0.000155285
1477439432150591911,0.0480206
1477439507811252214,0.0048938
1477439562668924321,0.942592
1477439662933020951,-0.0565419
1477439603474686282,0.00899884
1477439631578641205,-0.132684
1477439490358876810,0.207081
